agency_id,route_id,route_short_name,route_long_name,route_type,route_desc,route_url
1,100024,125,,3,Westwood Village to SSC to Downtown Seattle,http://metro.kingcounty.gov/schedules/125/n0.html
1,100026,128,,3,Southcenter/S Seattle Coll/Alaska Junc/Admirl Dist,http://metro.kingcounty.gov/schedules/128/n0.html
1,100028,13,,3,Seattle Pacific - Downtown Seattle,http://metro.kingcounty.gov/schedules/013/n0.html
1,100030,131,,3,Burien TC to Georgetown to Downtown Seattle,http://metro.kingcounty.gov/schedules/131/n0.html
1,100031,132,,3,Burien TC to South Park to Downtown Seattle,http://metro.kingcounty.gov/schedules/132/n0.html
1,100039,14,,3,Mt Baker - Downtown Seattle,http://metro.kingcounty.gov/schedules/014/n0.html
1,100041,143,,3,Black Diamond to Downtown Seattle,http://metro.kingcounty.gov/schedules/143/n0.html
1,100042,148,,3,Fairwood--S.Renton Hub Shuttle.,http://metro.kingcounty.gov/schedules/148/n0.html
1,100044,15,,3,Blue Ridge to Crown Hill to Downtown Seattle,http://metro.kingcounty.gov/schedules/015/n0.html
1,100045,150,,3,Kent Rail Sta/Southcenter/Downtown Seattle,http://metro.kingcounty.gov/schedules/150/n0.html
1,100048,153,,3,Kent/Renton Shuttle,http://metro.kingcounty.gov/schedules/153/n0.html
1,100049,154,,3,Tukwila Station to Boeing Industrial,http://metro.kingcounty.gov/schedules/154/n0.html
1,100051,158,,3,Kent East Hill to Downtown Seattle,http://metro.kingcounty.gov/schedules/158/n0.html
1,100052,159,,3,Timberlane/Lake Mer P&R/Kent Rail Sta/DT Seattle,http://metro.kingcounty.gov/schedules/159/n0.html
1,100057,164,,3,Green River Community College to Kent Rail Station,http://metro.kingcounty.gov/schedules/164/n0.html
1,100058,166,,3,Kent Rail Sta/Highline Coll/Des Moines/Burien TC,http://metro.kingcounty.gov/schedules/166/n0.html
1,100059,167,,3,South Renton P&R to University District,http://metro.kingcounty.gov/schedules/167/n0.html
1,100060,168,,3,Maple Valley to Kent Rail Station,http://metro.kingcounty.gov/schedules/168/n0.html
1,100061,169,,3,Kent Rail Station to Renton TC,http://metro.kingcounty.gov/schedules/169/n0.html
1,100062,17,,3,Loyal Heights to Sunset Hill to Ballard to Downtow,http://metro.kingcounty.gov/schedules/017/n0.html
1,100068,177,,3,Federal Way P&R Via I-5,http://metro.kingcounty.gov/schedules/177/n0.html
1,100069,178,,3,Federal Way P&R/Federal Way TC/Downtown Seattle,http://metro.kingcounty.gov/schedules/178/n0.html
1,100070,179,,3,Twin Lakes P&R to Downtown Seattle,http://metro.kingcounty.gov/schedules/179/n0.html
1,100071,18,,3,North Beach to Ballard to Downtown Seattle,http://metro.kingcounty.gov/schedules/018/n0.html
1,100072,181,,3,Twin Lakes P&R/Auburn Station/Green River CC,http://metro.kingcounty.gov/schedules/181/n0.html
1,100073,182,,3,Northeast Tacoma to Federal Way TC,http://metro.kingcounty.gov/schedules/182/n0.html
1,100074,183,,3,Federal Way TC to Star Lake to Kent Rail Station,http://metro.kingcounty.gov/schedules/183/n0.html
1,100077,186,,3,Enumclaw - Griffin Wells to Auburn Station,http://metro.kingcounty.gov/schedules/186/n0.html
1,100078,187,,3,Federal Way/Twin Lakes,http://metro.kingcounty.gov/schedules/187/n0.html
1,100081,19,,3,Magnolia,http://metro.kingcounty.gov/schedules/019/n0.html
1,100082,190,,3,Redondo Heights P&R/Star Lake/Downtown Seattle,http://metro.kingcounty.gov/schedules/190/n0.html
1,100084,192,,3,Star Lake to Downtown Seattle,http://metro.kingcounty.gov/schedules/192/n0.html
1,100088,197,,3,Twin Lakes P&R to University District,http://metro.kingcounty.gov/schedules/197/n0.html
1,100089,2,,3,W QA - Downtown - Madrona Pk,http://metro.kingcounty.gov/schedules/002/n0.html
1,100091,200,,3,Downtown Issaquah to North Issaquah,http://metro.kingcounty.gov/schedules/200/n0.html
1,100092,201,,3,South Mercer Island to West Mercer to M.I. P&R,http://metro.kingcounty.gov/schedules/201/n0.html
