stop_id,stop_name,stop_lat,stop_lon,stop_code
207,E MUKILTEO BLVD & PIGEON CREEK RD - WB,47.959873,-122.225235,3045
208,MUKILTEO and OLYMPIC,47.956841,-122.232124,3070
209,W MUKILTEO BLVD & RIDGEMONT  DR - WB,47.957317,-122.239677,3085
21,W CASINO RD & 84TH ST SW - EB,47.921185,-122.262634,5030
210,W MUKILTEO BLVD & SEAHURST AVE - WB,47.959324,-122.243011,3100
211,W MUKILTEO BLVD & GLENWOOD AVE - WB,47.957138,-122.247406,3110
212,MUKILTEO and DOVER,47.957092,-122.252243,3120
213,W MUKILTEO BLVD & HARBOR LN - WB,47.957375,-122.256531,3130
214,W MUKILTEO BLVD & KIRBY PL - WB,47.954556,-122.261330,3135
215,W MUKILTEO BLVD & 23RD AVE W - WB,47.953636,-122.264122,3145
216,MUKILTEO and SEAVIEW,47.953659,-122.267876,3160
217,W MUKILTEO BLVD & GARDNER AVE - WB,47.953766,-122.274162,3165
218,MUKILTEO and 33RD,47.953148,-122.277458,3175
219,W MUKILTEO BLVD & SOUND AVE - WB,47.952549,-122.280800,3190
22,W CASINO RD & 18TH AVE W - EB,47.921799,-122.257439,5040
220,W MUKILTEO BLVD & UPLAND AVE - WB,47.952145,-122.283127,3200
221,W MUKILTEO BLVD & MUKILTEO LANE - WB,47.950790,-122.287056,3210
222,5TH and PROSPECT,47.946453,-122.294273,3220
223,5TH and LOVELAND,47.945477,-122.299377,3225
224,5TH ST & LINCOLN AVE - WB,47.944805,-122.303261,3245
225,SR 525 & FRONT ST - SB DROPOFF ONLY,47.948792,-122.304459,3250
226,COLLEGE STATION - BAY F - NB,48.005764,-122.200546,1056
227,BROADWAY and 10TH,48.003860,-122.200111,1060
228,RAINIER AVE & 12TH ST - NB,48.001785,-122.198425,2050
229,RAINIER AVE & 11TH ST - NB,48.002762,-122.198410,2045
23,CASINO and SOMERSET,47.921753,-122.252716,5045
230,11TH ST & POPLAR ST - EB,48.003189,-122.196213,2030
231,POPLAR ST & 12TH ST - SB,48.001141,-122.194603,2065
232,15TH ST & FULTON - EB,47.997574,-122.194794,2100
233,15TH ST & MAPLE ST - EB,47.997494,-122.189743,2105
234,WALNUT ST & 24TH ST - SB,47.985771,-122.189522,2230
235,EVERETT AVE & WALNUT ST - WB,47.981846,-122.190086,2285
236,PACIFIC AVENUE & ROCKEFELLER AVE - EB,47.976547,-122.204865,2359
237,LOMBARD AVE & PACIFIC AVE - NB,47.977207,-122.202904,1450
238,SMITH AVE & 35TH ST - SB,47.971481,-122.197060,2342
239,SMITH AVE & 36TH ST - SB,47.969677,-122.197029,2345
24,W CASINO RD & HALL PARK RD - EB,47.921722,-122.250572,5055
240,3RD and 42ND,47.962578,-122.197662,4000
241,3RD and 43RD,47.960789,-122.197449,4010
242,3RD and 45TH,47.957794,-122.197067,4020
243,S 2ND AVE & 49TH ST - SB,47.953625,-122.195351,4030
244,2ND and EUGENE,47.951290,-122.194916,4045
245,S 2ND AVE & MAIN ST - SB,47.948811,-122.194611,4050
246,BROADWAY and 53RD,47.948467,-122.200081,4220
247,BROADWAY & 56TH ST SE - SB,47.945286,-122.199883,4210
248,BROADWAY & 60TH ST SE - SB,47.942986,-122.199745,4200
249,BROADWAY & 62ND ST SE - SB,47.940960,-122.199615,4190
25,CASINO and 10TH,47.921734,-122.247215,5065
250,BROADWAY & MELVIN AVE - SB,47.939022,-122.199524,4180
251,BROADWAY and MADISON,47.935688,-122.199821,4177
252,BROADWAY and MONROE,47.933384,-122.201042,4169
253,BROADWAY and 74TH,47.930912,-122.202408,4161
254,75TH ST SE & MCDOUGALL AVE - EB,47.930050,-122.199753,4159
255,RIDGEWOOD DR & TIMBER HILL DR - SB,47.927994,-122.198441,4151
256,PANAVIEW BLVD & LARLIN DR - SB,47.926163,-122.197319,4157
257,LARLIN and PANAVIEW,47.927521,-122.193184,4154
258,SUNRISE & PANAVIEW - NB,47.928230,-122.194763,4156
259,75TH and MCDOUGALL,47.930107,-122.199600,4158
26,CASINO and 8TH,47.921757,-122.243141,5075
260,BROADWAY and 79TH,47.925671,-122.205231,4232
261,BEVERLY and BROADWAY,47.922401,-122.207245,4248
262,EASTMONT PARK & RIDE BAY 3 - WB,47.915356,-122.205177,2502
263,19TH AVE SE & BURLEY DRIVE - SB,47.912971,-122.207176,6125
264,19TH AVE SE & 96TH PL SE - SB,47.911076,-122.207207,6130
265,19TH AVE SE & 98TH ST SE - SB,47.909157,-122.207222,6135
